"","Reef.index","Priority","New_CSIRO.region"
"1",1,"N","FN"
"2",2,"N","FN"
"3",3,"N","FN"
"4",4,"N","FN"
"5",5,"N","FN"
"6",6,"N","FN"
"7",7,"N","FN"
"8",8,"N","FN"
"9",9,"N","FN"
"10",10,"N","FN"
"11",11,"N","FN"
"12",12,"N","FN"
"13",13,"N","FN"
"14",14,"N","FN"
"15",15,"N","FN"
"16",16,"N","FN"
"17",17,"N","FN"
"18",18,"N","FN"
"19",19,"N","FN"
"20",20,"N","FN"
"21",21,"N","FN"
"22",22,"N","FN"
"23",23,"N","FN"
"24",24,"N","FN"
"25",25,"N","FN"
"26",26,"N","FN"
"27",27,"N","FN"
"28",28,"N","FN"
"29",29,"N","FN"
"30",30,"N","FN"
"31",31,"N","FN"
"32",32,"N","FN"
"33",33,"N","FN"
"34",34,"N","FN"
"35",35,"N","FN"
"36",36,"N","FN"
"37",37,"N","FN"
"38",38,"N","FN"
"39",39,"N","FN"
"40",40,"N","FN"
"41",41,"N","FN"
"42",42,"N","FN"
"43",43,"N","FN"
"44",44,"N","FN"
"45",45,"N","FN"
"46",46,"N","FN"
"47",47,"N","FN"
"48",48,"N","FN"
"49",49,"N","FN"
"50",50,"N","FN"
"51",51,"N","FN"
"52",52,"N","FN"
"53",53,"N","FN"
"54",54,"N","FN"
"55",55,"N","FN"
"56",56,"N","FN"
"57",57,"N","FN"
"58",58,"N","FN"
"59",59,"N","FN"
"60",60,"N","FN"
"61",61,"N","FN"
"62",62,"N","FN"
"63",63,"N","FN"
"64",64,"N","FN"
"65",65,"N","FN"
"66",66,"N","FN"
"67",67,"N","FN"
"68",68,"N","FN"
"69",69,"N","FN"
"70",70,"N","FN"
"71",71,"N","FN"
"72",72,"N","FN"
"73",73,"N","FN"
"74",74,"N","FN"
"75",75,"N","FN"
"76",76,"N","FN"
"77",77,"N","FN"
"78",78,"N","FN"
"79",79,"N","FN"
"80",80,"N","FN"
"81",81,"N","FN"
"82",82,"N","FN"
"83",83,"N","FN"
"84",84,"N","FN"
"85",85,"N","FN"
"86",86,"N","FN"
"87",87,"N","FN"
"88",88,"N","FN"
"89",89,"N","FN"
"90",90,"N","FN"
"91",91,"N","FN"
"92",92,"N","FN"
"93",93,"N","FN"
"94",94,"N","FN"
"95",95,"N","FN"
"96",96,"N","FN"
"97",97,"N","FN"
"98",98,"N","FN"
"99",99,"N","FN"
"100",100,"N","FN"
"101",101,"N","FN"
"102",102,"N","FN"
"103",103,"N","FN"
"104",104,"N","FN"
"105",105,"N","FN"
"106",106,"N","FN"
"107",107,"N","FN"
"108",108,"N","FN"
"109",109,"N","FN"
"110",110,"N","FN"
"111",111,"N","FN"
"112",112,"N","FN"
"113",113,"N","FN"
"114",114,"N","FN"
"115",115,"N","FN"
"116",116,"N","FN"
"117",117,"N","FN"
"118",118,"N","FN"
"119",119,"N","FN"
"120",120,"N","FN"
"121",121,"N","FN"
"122",122,"N","FN"
"123",123,"N","FN"
"124",124,"N","FN"
"125",125,"N","FN"
"126",126,"N","FN"
"127",127,"N","FN"
"128",128,"N","FN"
"129",129,"N","FN"
"130",130,"N","FN"
"131",131,"N","FN"
"132",132,"N","FN"
"133",133,"N","FN"
"134",134,"N","FN"
"135",135,"N","FN"
"136",136,"N","FN"
"137",137,"N","FN"
"138",138,"N","FN"
"139",139,"N","FN"
"140",140,"N","FN"
"141",141,"N","FN"
"142",142,"N","FN"
"143",143,"N","FN"
"144",144,"N","FN"
"145",145,"N","FN"
"146",146,"N","FN"
"147",147,"N","FN"
"148",148,"N","FN"
"149",149,"N","FN"
"150",150,"N","FN"
"151",151,"N","FN"
"152",152,"N","FN"
"153",153,"N","FN"
"154",154,"N","FN"
"155",155,"N","FN"
"156",156,"N","FN"
"157",157,"N","FN"
"158",158,"N","FN"
"159",159,"N","FN"
"160",160,"N","FN"
"161",161,"N","FN"
"162",162,"N","FN"
"163",163,"N","FN"
"164",164,"N","FN"
"165",165,"N","FN"
"166",166,"N","FN"
"167",167,"N","FN"
"168",168,"N","FN"
"169",169,"N","FN"
"170",170,"N","FN"
"171",171,"N","FN"
"172",172,"N","FN"
"173",173,"N","FN"
"174",174,"N","FN"
"175",175,"N","FN"
"176",176,"N","FN"
"177",177,"N","FN"
"178",178,"N","FN"
"179",179,"N","FN"
"180",180,"N","FN"
"181",181,"N","FN"
"182",182,"N","FN"
"183",183,"N","FN"
"184",184,"N","FN"
"185",185,"N","FN"
"186",186,"N","FN"
"187",187,"N","FN"
"188",188,"N","FN"
"189",189,"N","FN"
"190",190,"N","FN"
"191",191,"N","FN"
"192",192,"N","FN"
"193",193,"N","FN"
"194",194,"N","FN"
"195",195,"N","FN"
"196",196,"N","FN"
"197",197,"N","FN"
"198",198,"N","FN"
"199",199,"N","FN"
"200",200,"N","FN"
"201",201,"N","FN"
"202",202,"N","FN"
"203",203,"N","FN"
"204",204,"N","FN"
"205",205,"N","FN"
"206",206,"N","FN"
"207",207,"N","FN"
"208",208,"N","FN"
"209",209,"N","FN"
"210",210,"N","FN"
"211",211,"N","FN"
"212",212,"N","FN"
"213",213,"N","FN"
"214",214,"N","FN"
"215",215,"N","FN"
"216",216,"N","FN"
"217",217,"N","FN"
"218",218,"N","FN"
"219",219,"N","FN"
"220",220,"N","FN"
"221",221,"N","FN"
"222",222,"N","FN"
"223",223,"N","FN"
"224",224,"N","FN"
"225",225,"N","FN"
"226",226,"N","FN"
"227",227,"N","FN"
"228",228,"N","FN"
"229",229,"N","FN"
"230",230,"N","FN"
"231",231,"N","FN"
"232",232,"N","FN"
"233",233,"N","FN"
"234",234,"N","FN"
"235",235,"N","FN"
"236",236,"N","FN"
"237",237,"N","FN"
"238",238,"N","FN"
"239",239,"N","FN"
"240",240,"N","FN"
"241",241,"N","FN"
"242",242,"N","FN"
"243",243,"N","FN"
"244",244,"N","FN"
"245",245,"N","FN"
"246",246,"N","FN"
"247",247,"N","FN"
"248",248,"N","FN"
"249",249,"N","FN"
"250",250,"N","FN"
"251",251,"N","FN"
"252",252,"N","FN"
"253",253,"N","FN"
"254",254,"N","FN"
"255",255,"N","FN"
"256",256,"N","FN"
"257",257,"N","FN"
"258",258,"N","FN"
"259",259,"N","FN"
"260",260,"N","FN"
"261",261,"N","FN"
"262",262,"N","FN"
"263",263,"N","FN"
"264",264,"N","FN"
"265",265,"N","FN"
"266",266,"N","FN"
"267",267,"N","FN"
"268",268,"N","FN"
"269",269,"N","FN"
"270",270,"N","FN"
"271",271,"N","FN"
"272",272,"N","FN"
"273",273,"N","FN"
"274",274,"N","FN"
"275",275,"N","FN"
"276",276,"N","FN"
"277",277,"N","FN"
"278",278,"N","FN"
"279",279,"N","FN"
"280",280,"N","FN"
"281",281,"N","FN"
"282",282,"N","FN"
"283",283,"N","FN"
"284",284,"N","FN"
"285",285,"N","FN"
"286",286,"N","FN"
"287",287,"N","FN"
"288",288,"N","FN"
"289",289,"N","FN"
"290",290,"N","FN"
"291",291,"N","FN"
"292",292,"N","FN"
"293",293,"N","FN"
"294",294,"N","FN"
"295",295,"N","FN"
"296",296,"N","FN"
"297",297,"N","FN"
"298",298,"N","FN"
"299",299,"N","FN"
"300",300,"N","FN"
"301",301,"N","FN"
"302",302,"N","FN"
"303",303,"N","FN"
"304",304,"N","FN"
"305",305,"N","FN"
"306",306,"N","FN"
"307",307,"N","FN"
"308",308,"N","FN"
"309",309,"N","FN"
"310",310,"N","FN"
"311",311,"N","FN"
"312",312,"N","FN"
"313",313,"N","FN"
"314",314,"N","FN"
"315",315,"N","FN"
"316",316,"N","FN"
"317",317,"N","FN"
"318",318,"N","FN"
"319",319,"N","FN"
"320",320,"N","FN"
"321",321,"N","FN"
"322",322,"N","FN"
"323",323,"N","FN"
"324",324,"N","FN"
"325",325,"N","FN"
"326",326,"N","FN"
"327",327,"N","FN"
"328",328,"N","FN"
"329",329,"N","FN"
"330",330,"N","FN"
"331",331,"N","FN"
"332",332,"N","FN"
"333",333,"N","FN"
"334",334,"N","FN"
"335",335,"N","FN"
"336",336,"N","FN"
"337",337,"N","FN"
"338",338,"N","FN"
"339",339,"N","FN"
"340",340,"N","FN"
"341",341,"N","FN"
"342",342,"N","FN"
"343",343,"N","FN"
"344",344,"N","FN"
"345",345,"N","FN"
"346",346,"N","FN"
"347",347,"N","FN"
"348",348,"N","FN"
"349",349,"N","FN"
"350",350,"N","FN"
"351",351,"N","FN"
"352",352,"N","FN"
"353",353,"N","FN"
"354",354,"N","FN"
"355",355,"N","FN"
"356",356,"N","FN"
"357",357,"N","FN"
"358",358,"N","FN"
"359",359,"N","FN"
"360",360,"N","FN"
"361",361,"N","FN"
"362",362,"N","FN"
"363",363,"N","FN"
"364",364,"N","FN"
"365",365,"N","FN"
"366",366,"N","FN"
"367",367,"N","FN"
"368",368,"N","FN"
"369",369,"N","FN"
"370",370,"N","FN"
"371",371,"N","FN"
"372",372,"N","FN"
"373",373,"N","FN"
"374",374,"N","FN"
"375",375,"N","FN"
"376",376,"N","FN"
"377",377,"N","FN"
"378",378,"N","FN"
"379",379,"N","FN"
"380",380,"N","FN"
"381",381,"N","FN"
"382",382,"N","FN"
"383",383,"N","FN"
"384",384,"N","FN"
"385",385,"N","FN"
"386",386,"N","FN"
"387",387,"N","FN"
"388",388,"N","FN"
"389",389,"N","FN"
"390",390,"N","FN"
"391",391,"N","FN"
"392",392,"N","FN"
"393",393,"N","FN"
"394",394,"N","FN"
"395",395,"N","FN"
"396",396,"N","FN"
"397",397,"N","FN"
"398",398,"N","FN"
"399",399,"N","FN"
"400",400,"N","FN"
"401",401,"N","FN"
"402",402,"N","FN"
"403",403,"N","FN"
"404",404,"N","FN"
"405",405,"N","FN"
"406",406,"N","FN"
"407",407,"N","FN"
"408",408,"N","FN"
"409",409,"N","FN"
"410",410,"N","FN"
"411",411,"N","FN"
"412",412,"N","FN"
"413",413,"N","FN"
"414",414,"N","FN"
"415",415,"N","FN"
"416",416,"N","FN"
"417",417,"N","FN"
"418",418,"N","FN"
"419",419,"N","FN"
"420",420,"N","FN"
"421",421,"N","FN"
"422",422,"N","FN"
"423",423,"Y","FN"
"424",424,"N","FN"
"425",425,"N","FN"
"426",426,"N","FN"
"427",427,"N","FN"
"428",428,"N","FN"
"429",429,"N","FN"
"430",430,"N","FN"
"431",431,"N","FN"
"432",432,"N","FN"
"433",433,"N","FN"
"434",434,"N","FN"
"435",435,"N","FN"
"436",436,"N","FN"
"437",437,"N","FN"
"438",438,"N","FN"
"439",439,"N","FN"
"440",440,"N","FN"
"441",441,"N","FN"
"442",442,"N","FN"
"443",443,"N","FN"
"444",444,"N","FN"
"445",445,"N","FN"
"446",446,"N","FN"
"447",447,"N","FN"
"448",448,"N","FN"
"449",449,"N","FN"
"450",450,"N","FN"
"451",451,"N","FN"
"452",452,"N","FN"
"453",453,"N","FN"
"454",454,"N","FN"
"455",455,"N","FN"
"456",456,"N","FN"
"457",457,"N","FN"
"458",458,"N","FN"
"459",459,"N","FN"
"460",460,"N","FN"
"461",461,"N","FN"
"462",462,"N","FN"
"463",463,"N","FN"
"464",464,"N","FN"
"465",465,"N","FN"
"466",466,"N","FN"
"467",467,"N","FN"
"468",468,"N","FN"
"469",469,"N","FN"
"470",470,"N","FN"
"471",471,"N","FN"
"472",472,"N","FN"
"473",473,"N","FN"
"474",474,"N","FN"
"475",475,"N","FN"
"476",476,"N","FN"
"477",477,"N","FN"
"478",478,"N","FN"
"479",479,"N","FN"
"480",480,"N","FN"
"481",481,"N","FN"
"482",482,"N","FN"
"483",483,"N","FN"
"484",484,"N","FN"
"485",485,"N","FN"
"486",486,"N","FN"
"487",487,"N","FN"
"488",488,"N","FN"
"489",489,"N","FN"
"490",490,"N","FN"
"491",491,"Y","FN"
"492",492,"N","FN"
"493",493,"N","FN"
"494",494,"N","FN"
"495",495,"N","FN"
"496",496,"N","FN"
"497",497,"N","FN"
"498",498,"N","FN"
"499",499,"N","FN"
"500",500,"N","FN"
"501",501,"N","FN"
"502",502,"N","FN"
"503",503,"N","FN"
"504",504,"N","FN"
"505",505,"N","FN"
"506",506,"N","FN"
"507",507,"N","FN"
"508",508,"N","FN"
"509",509,"N","FN"
"510",510,"N","FN"
"511",511,"N","FN"
"512",512,"N","FN"
"513",513,"N","FN"
"514",514,"N","FN"
"515",515,"N","FN"
"516",516,"N","FN"
"517",517,"N","FN"
"518",518,"N","FN"
"519",519,"N","FN"
"520",520,"N","FN"
"521",521,"Y","FN"
"522",522,"N","FN"
"523",523,"Y","FN"
"524",524,"N","FN"
"525",525,"N","FN"
"526",526,"N","FN"
"527",527,"N","FN"
"528",528,"N","FN"
"529",529,"N","FN"
"530",530,"N","FN"
"531",531,"N","FN"
"532",532,"N","FN"
"533",533,"N","FN"
"534",534,"N","FN"
"535",535,"Y","FN"
"536",536,"N","FN"
"537",537,"N","FN"
"538",538,"N","FN"
"539",539,"N","FN"
"540",540,"N","FN"
"541",541,"N","FN"
"542",542,"N","FN"
"543",543,"N","FN"
"544",544,"N","FN"
"545",545,"N","FN"
"546",546,"N","FN"
"547",547,"N","FN"
"548",548,"N","FN"
"549",549,"N","FN"
"550",550,"N","FN"
"551",551,"N","FN"
"552",552,"N","FN"
"553",553,"N","FN"
"554",554,"N","FN"
"555",555,"N","FN"
"556",556,"N","FN"
"557",557,"N","FN"
"558",558,"N","FN"
"559",559,"Y","FN"
"560",560,"N","FN"
"561",561,"Y","FN"
"562",562,"N","FN"
"563",563,"N","FN"
"564",564,"N","FN"
"565",565,"N","FN"
"566",566,"N","FN"
"567",567,"N","FN"
"568",568,"N","FN"
"569",569,"N","FN"
"570",570,"N","FN"
"571",571,"N","FN"
"572",572,"N","FN"
"573",573,"N","FN"
"574",574,"N","FN"
"575",575,"N","FN"
"576",576,"N","FN"
"577",577,"N","FN"
"578",578,"N","FN"
"579",579,"N","FN"
"580",580,"N","FN"
"581",581,"N","FN"
"582",582,"N","FN"
"583",583,"N","FN"
"584",584,"N","FN"
"585",585,"N","FN"
"586",586,"N","FN"
"587",587,"N","FN"
"588",588,"N","FN"
"589",589,"N","FN"
"590",590,"N","FN"
"591",591,"N","FN"
"592",592,"N","FN"
"593",593,"N","FN"
"594",594,"N","FN"
"595",595,"N","FN"
"596",596,"N","FN"
"597",597,"N","FN"
"598",598,"Y","FN"
"599",599,"N","FN"
"600",600,"N","FN"
"601",601,"N","FN"
"602",602,"N","FN"
"603",603,"N","FN"
"604",604,"Y","FN"
"605",605,"N","FN"
"606",606,"N","FN"
"607",607,"Y","FN"
"608",608,"N","FN"
"609",609,"N","FN"
"610",610,"Y","FN"
"611",611,"N","FN"
